ID,E-W,N-S,SPAD
834,716626.173,7695277.067,62.2
835,716630.354,7695277.013,63
836,716633.179,7695277.631,61.2
837,716636.438,7695277.605,61
838,716638.799,7695280.062,62.1
839,716642.165,7695280.576,63
840,716645.048,7695282.089,62.9
841,716647.516,7695283.69,62.1
842,716649.238,7695285.129,65
843,716652.237,7695286.405,61.4
844,716654.789,7695289.538,62.8
845,716657.079,7695291.369,62.3
846,716659.308,7695293.798,59.2
847,716660.576,7695295.688,64.4
848,716663.157,7695299.14,64.2
849,716663.863,7695302.131,69.2
850,716666.056,7695304.562,56.5
851,716667.294,7695308.041,65.8
852,716668.099,7695310.617,62.8
853,716668.928,7695313.592,64.2
854,716668.011,7695317,67.3
855,716669.458,7695319.651,65.1
856,716669.439,7695322.853,66.6
857,716669.165,7695325.494,65.1
858,716668.92,7695328.865,64
859,716668.123,7695332.531,66.7
860,716667.151,7695336.216,66.2
861,716665.807,7695338.815,69.5
862,716658.858,7695337.441,62.5
863,716657.321,7695340.687,62.7
864,716656.051,7695343.885,64.7
865,716653.411,7695346.203,61.1
866,716651.111,7695348.778,63.3
867,716648.09,7695351.486,60
868,716644.63,7695353.821,61.1
869,716641.409,7695355.938,65.5
870,716638.348,7695357.14,68.3
871,716636.776,7695358.058,62.3
872,716632.596,7695359.22,60.6
873,716629.406,7695359.401,61.9
874,716625.999,7695359.661,55
875,716623.549,7695359.705,62
876,716619.378,7695359.948,56.2
877,716616.102,7695359.295,55.8
878,716613.819,7695358.527,63.6
879,716611.558,7695357.77,64.1
880,716607.693,7695356.4,60.3
881,716604.22,7695354.703,54
882,716601.74,7695353.157,56.4
883,716599.564,7695351.665,59.2
886,716597.385,7695349.593,55.4
887,716595.353,7695347.373,62.7
888,716593.486,7695345.086,66.3
889,716591.848,7695342.133,64.1
890,716590.57,7695339.636,63.4
891,716589.416,7695337.531,65.1
892,716588.104,7695335.516,64.8
893,716587.694,7695332.749,56.5
894,716586.64,7695329.342,63.2
895,716586.346,7695325.885,66.7
896,716586.056,7695322.832,67.5
897,716585.837,7695319.803,63.5
898,716586.055,7695317.378,61.3
899,716587.007,7695312.231,61.7
900,716587.762,7695309.145,62.9
901,716588.838,7695306.591,58
902,716589.764,7695303.9,61.3
903,716591.239,7695301.103,61.1
904,716593.844,7695297.817,61.7
905,716596.021,7695294.756,63.6
906,716597.504,7695293.296,52.7
907,716599.557,7695291.155,55.8
908,716601.947,7695289.604,61.3
909,716605.1,7695287.598,66
910,716607.604,7695286.368,63.7
911,716610.565,7695284.895,61.5
912,716613.774,7695284.047,56.6
913,716616.247,7695283.178,61
914,716619.131,7695282.676,64.6
915,716621.758,7695282.813,58.8
916,716625.334,7695282.749,65.1
917,716629.129,7695282.843,59.7
918,716632.945,7695283.544,64.8
919,716636.988,7695284.872,65.2
920,716639.732,7695285.661,64.4
921,716642.651,7695287.365,62.8
922,716645.097,7695288.872,65.7
923,716647.083,7695290.254,64
924,716649.03,7695291.352,59.4
925,716650.728,7695292.952,63.8
926,716653.158,7695295.624,66
927,716655.269,7695297.841,65.1
928,716657.571,7695300.998,62.4
929,716658.978,7695303.789,56.5
930,716660.656,7695306.79,62.8
931,716661.387,7695309.592,62.7
932,716662.338,7695311.97,59.6
933,716662.543,7695315.435,63.1
934,716662.935,7695317.924,62.1
935,716662.488,7695320.233,62.9
936,716662.662,7695324.813,64.6
937,716662.195,7695328.329,60.9
938,716661.396,7695332.093,62.2
939,716660.488,7695335.515,60.5
940,716653.836,7695335.279,68.1
941,716652.442,7695338.37,58.3
942,716651.219,7695340.864,64.1
943,716649.034,7695343.497,55.7
944,716647.043,7695344.863,62
945,716644.916,7695347.294,58.5
946,716641.693,7695348.691,56.3
947,716638.777,7695350.359,57.7
948,716635.894,7695351.852,55.6
949,716633.289,7695352.674,58.2
950,716629.785,7695353.269,66.4
951,716627.491,7695353.841,55.1
952,716624.186,7695354.154,61.6
953,716619.963,7695353.705,57.6
954,716617.235,7695353.236,54.9
955,716614.406,7695352.176,57.1
956,716611.789,7695351.107,57.6
957,716609.18,7695349.733,60.6
958,716606.975,7695348.531,55.9
959,716604.267,7695346.706,57.6
960,716602.133,7695344.951,69.6
961,716600.116,7695342.823,62.5
962,716598.422,7695341.045,63.3
963,716596.851,7695338.479,61.6
964,716595.336,7695335.777,60.4
965,716594.29,7695333.944,58.7
966,716593.393,7695330.595,62.4
967,716592.208,7695327.559,66.4
968,716592.085,7695325.343,62.3
969,716591.738,7695322.635,59.4
970,716591.92,7695319.123,61.4
971,716592.29,7695316.69,61.8
972,716592.795,7695313.696,55.9
973,716593.409,7695311.26,61.5
974,716594.625,7695308.552,66.6
975,716595.53,7695305.703,59.7
976,716597.404,7695302.71,58
977,716599.467,7695300.265,54.7
978,716601.128,7695298.067,56.4
979,716603.131,7695295.88,55.3
980,716605.497,7695294.739,64.2
981,716607.188,7695293.366,58.6
982,716609.331,7695291.739,51.7
983,716611.762,7695290.783,53.4
984,716614.716,7695290.052,58.8
985,716618.266,7695289.371,55.4
986,716621.011,7695288.755,57.2
987,716624.584,7695289.061,58.8
988,716627.497,7695288.785,56.5
989,716630.651,7695289.343,57.1
990,716635.434,7695290.462,64.2
991,716638.253,7695292.008,56.7
992,716640.998,7695293.443,58.5
993,716643.177,7695294.759,56.8
994,716645.307,7695296.251,51
995,716647.667,7695298.057,53.2
996,716649.94,7695300.842,56.6
997,716651.292,7695303.061,54.9
998,716652.851,7695305.933,56.8
999,716654.198,7695309.01,56.1
1000,716655.697,7695311.633,66.5
1001,716656.496,7695315.036,60.3
1002,716656.767,7695318.668,58.6
1003,716657.463,7695321.559,58.3
1004,716655.811,7695325.028,54.7
1005,716656.737,7695328.344,47.9
1006,716654.423,7695333.038,57
1007,716649.131,7695331.64,52.8
1008,716647.83,7695334.856,55.4
1009,716646.192,7695336.864,57.4
1010,716644.245,7695338.745,66.7
1011,716641.138,7695341.871,59.7
1012,716637.667,7695343.723,59.8
1013,716635.273,7695345.121,59.1
1014,716632.823,7695345.651,54.7
1015,716629.854,7695346.82,54.4
1016,716625.792,7695347.023,56.9
1017,716622.289,7695347.545,56.9
1018,716619.061,7695346.528,60.9
1019,716615.864,7695345.173,53.2
1020,716613.033,7695344.204,60.1
1021,716610.265,7695342.946,56.4
1022,716607.936,7695340.679,56.5
1023,716606.532,7695339.819,56.7
1024,716603.298,7695336.559,59
1025,716601.372,7695334.194,59.3
1026,716599.983,7695330.93,60.1
1027,716598.898,7695327.743,58.8
1028,716598.259,7695325.036,59.4
1029,716597.845,7695322.064,56.4
1030,716597.827,7695319.444,68.3
1031,716598.7,7695314.826,60.6
1032,716599.413,7695311.507,56.2
1033,716600.702,7695308.747,58.5
1034,716602.209,7695306.175,56.7
1035,716603.984,7695304.186,55.6
1036,716606.066,7695301.216,51.4
1037,716608.718,7695299.357,58.3
1038,716611.286,7695297.975,54.6
1039,716614.945,7695295.974,53.8
1040,716618.371,7695294.751,62.9
1041,716621.54,7695294.176,58.3
1042,716624.272,7695294.2,56.4
1043,716627.373,7695294.259,56.3
1044,716630.703,7695294.931,58.3
1045,716633.047,7695295.708,51.8
1046,716635.664,7695296.791,53.4
1047,716638.969,7695297.779,52.7
1048,716641.486,7695299.767,55.6
1049,716643.517,7695301.677,58.9
1050,716645.938,7695304.002,59.1
1051,716647.142,7695306.789,51.9
1052,716649.561,7695310.127,58.5
1053,716650.343,7695313.038,57
1054,716651.857,7695316.619,55.5
1055,716651.097,7695320.083,51
1056,716650.939,7695323.979,55.3
1057,716650.644,7695327.108,52
1058,716643.691,7695328.784,52.5
1059,716642.034,7695331.055,59.3
1060,716640.408,7695333.439,60.1
1061,716637.98,7695335.134,60.7
1062,716636.532,7695336.423,56.5
1063,716634.507,7695338.177,59.4
1064,716631.49,7695339.593,58.9
1065,716629.277,7695340.78,60.8
1066,716625.875,7695340.802,58.6
1067,716622.831,7695340.774,60.7
1068,716620.651,7695340.612,60
1069,716617.869,7695338.698,61
1070,716614.602,7695338.093,65.1
1071,716612.992,7695337.036,63.1
1072,716610.559,7695334.939,61.7
1073,716608.383,7695332.76,59.1
1074,716607.019,7695330.132,59.4
1075,716605.829,7695327.514,57.8
1076,716604.71,7695324.805,58.7
1077,716604.659,7695321.465,59.2
1078,716604.373,7695318.3,62.6
1079,716605.254,7695315.15,59.7
1080,716606.46,7695312.694,65.6
1081,716607.339,7695309.808,64.4
1082,716609.36,7695306.635,59.9
1083,716612.332,7695304.316,61.7
1084,716614.426,7695302.383,62.4
1085,716617.468,7695301.423,58.5
1086,716621.371,7695300.74,59.3
1087,716624.294,7695300.323,60.4
1088,716626.482,7695300.568,57.8
1089,716629.438,7695300.869,56
1090,716633.399,7695301.601,65
1091,716636.215,7695303.541,60.4
1092,716638.142,7695304.912,59.3
1093,716640.01,7695306.756,60.6
1094,716641.805,7695308.131,63.6
1095,716644.133,7695311.519,64.2
1096,716645.362,7695314.884,58.5
1097,716645.828,7695317.589,57.1
1098,716645.945,7695320.999,57.9
1099,716645.17,7695324.517,57.4
1100,716638.552,7695326.34,64.1
1101,716637.398,7695329.113,59.1
1102,716635.782,7695330.971,58.8
1103,716633.326,7695333.337,63.6
1104,716630.279,7695333.824,62.1
1105,716627.022,7695334.675,60.5
1106,716623.942,7695334.822,60.1
1107,716620.711,7695334.195,63.5
1108,716617.774,7695332.8,56.9
1109,716615.163,7695331.011,62.1
1110,716613.691,7695329.234,61.3
1111,716612.269,7695326.385,58.2
1112,716611.191,7695321.621,59.5
1113,716610.958,7695319.27,60.8
1114,716611.572,7695316.779,62.8
1115,716612.529,7695313.66,63.3
1116,716614.213,7695311.253,57.8
1117,716616.254,7695309.112,60.8
1118,716618.283,7695307.337,62.7
1119,716621.354,7695306.17,62.3
1120,716624.475,7695305.968,65.7
1121,716627.618,7695306.4,58.5
1122,716630.528,7695306.864,62.2
1123,716633.98,7695308.528,60.6
1124,716636.386,7695311.011,66.6
1125,716638.397,7695312.729,62.8
1126,716639.569,7695315.572,63
1127,716639.709,7695318.104,64.4
1128,716640.05,7695322.37,60.7
1129,716632.798,7695324.343,63.2
1130,716630.54,7695326.433,61.6
1131,716627.544,7695328.361,63.7
1132,716625.338,7695328.839,61
1133,716622.188,7695328.216,61.4
1134,716619.791,7695326.555,67.3
1135,716617.874,7695324.101,59.1
1136,716616.72,7695320.823,61.1
1137,716617.203,7695318.936,62.2
1138,716618,7695315.424,67
1139,716620.709,7695313.114,65.7
1140,716622.725,7695311.548,65.9
1141,716625.843,7695311.546,66.1
1142,716628.951,7695312.585,61.6
1143,716630.995,7695313.95,63.3
1144,716633.554,7695317.896,65.7
1145,716633.566,7695321.366,66.5
