Longitude,Latitude,Field,Data,Crop,Altitude(m),Yield mass (tonne/ha)
-51.03733,-22.674765,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.71,10.62
-51.037375,-22.674745,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.61,5.065
-51.03741833,-22.67472166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.41,3.9819999999999998
-51.03745999,-22.67469833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.81,5.654
-51.03750166,-22.67466833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.41,4.32
-51.03754499,-22.67464,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.71,4.777
-51.03758166,-22.67460499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.61,2.832
-51.03763,-22.67456333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.41,3.0989999999999998
-51.03766333,-22.67454166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.21,4.664
-51.03769999,-22.67450833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,5.534
-51.03773166,-22.67447833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.71,5.952999999999999
-51.03775666,-22.67445666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.01,5.79
-51.03778833,-22.67442166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.01,5.109
-51.03781833,-22.67438833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.61,4.5569999999999995
-51.03785333,-22.67435333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.41,3.845
-51.03787833,-22.67432333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.71,6.278
-51.03790333,-22.67429166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.21,4.365
-51.03792499,-22.67425333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.31,4.717
-51.037945,-22.67422499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.61,4.742
-51.03796333,-22.67418666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.81,4.215
-51.037975,-22.67415166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.91,5.9110000000000005
-51.03798666,-22.67411499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.41,3.562
-51.03800166,-22.67406833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.31,3.7769999999999997
-51.03800833,-22.67402833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.71,4.655
-51.03801499,-22.67398333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.71,3.858
-51.03802833,-22.67394166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.91,5.807
-51.03804333,-22.67390166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.61,4.625
-51.03805499,-22.67385166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,4.428
-51.03807166,-22.67380499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.31,4.331
-51.03808999,-22.67375666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.61,4.158
-51.03810666,-22.673714999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,5.088
-51.03812333,-22.67366666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,4.081
-51.03812999,-22.67361,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.11,2.708
-51.03811999,-22.673565,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.71,3.864
-51.03810833,-22.67351499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,4.308
-51.0381,-22.67346666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.91,2.801
-51.03809333,-22.67345499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,11.42
-51.03808166,-22.67342666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.41,2.555
-51.03807499,-22.67338666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.11,4.124
-51.03806999,-22.67335166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.41,2.937
-51.03805,-22.67331833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.81,2.3819999999999997
-51.03803666,-22.67328833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,1.5330000000000001
-51.03802333,-22.67324499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.41,1.0979999999999999
-51.03791833,-22.67332499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,0.736
-51.03790333,-22.67334999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,2.948
-51.03787499,-22.67337999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.61,2.697
-51.03783833,-22.67341166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.11,3.928
-51.03780166,-22.67343833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,3.4810000000000003
-51.03775833,-22.67347666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.41,2.863
-51.03772333,-22.67350166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,3.813
-51.03767999,-22.67353333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.51,3.2439999999999998
-51.037634999999995,-22.67356166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.41,3.3310000000000004
-51.03759166,-22.67358999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.61,3.562
-51.03754999,-22.67362499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.11,3.3080000000000003
-51.03750999,-22.67364999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.01,3.278
-51.03747499,-22.673675,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.91,6.85
-51.037434999999995,-22.67370333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.11,3.2569999999999997
-51.03739166,-22.67372833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,405.01,3.307
-51.03735333,-22.67375499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.91,3.029
-51.03730833,-22.67378333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,405.41,3.657
-51.03726999,-22.67379833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.81,4.114
-51.03722333,-22.67381666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,405.11,2.3480000000000003
-51.03717166,-22.67383833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,405.21,1.764
-51.03712833,-22.67385666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.81,1.287
-51.03708166,-22.67387499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.61,1.168
-51.03702833,-22.673895,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.81,0.6940000000000001
-51.03451166,-22.67558,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,406.31,1.745
-51.034565,-22.67556,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,406.61,2.923
-51.03461666,-22.67555666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,406.51,3.043
-51.03466499,-22.67555833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,406.51,4.577
-51.03472166,-22.67556499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,405.81,3.455
-51.034765,-22.67557,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,406.41,5.645
-51.03481333,-22.67556499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,406.61,3.718
-51.03486166,-22.67555833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,407.01,4.7589999999999995
-51.03491333,-22.67554666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,407.01,3.085
-51.03496166,-22.67553333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,407.11,3.844
-51.03501166,-22.67553,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,407.11,3.7039999999999997
-51.035059999999994,-22.67551666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,406.01,3.636
-51.03510999,-22.67550999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,405.61,3.688
-51.03515999,-22.675504999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,405.61,4.901
-51.0352,-22.67548999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.71,4.2139999999999995
-51.03524833,-22.67547833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.61,4.187
-51.03529166,-22.67546666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.01,3.778
-51.03534166,-22.67545,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.81,3.8760000000000003
-51.03538333,-22.675435,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.21,4.2330000000000005
-51.035435,-22.67541499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.41,4.439
-51.03548833,-22.675385000000002,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.31,2.77
-51.03554333,-22.67535666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.81,3.0239999999999996
-51.03559499,-22.67532999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.51,2.5669999999999997
-51.03564166,-22.675304999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.31,3.0810000000000004
-51.03569,-22.67528833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.41,3.1689999999999996
-51.03574166,-22.67528666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.01,3.759
-51.03579333,-22.67527333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.51,4.345
-51.03584166,-22.67525666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,3.708
-51.03588666,-22.67525166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.31,5.182
-51.03593499,-22.67523666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,3.7939999999999996
-51.03598666,-22.675225,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,4.17
-51.03603499,-22.675214999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,3.989
-51.03608666,-22.67520499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.71,3.3680000000000003
-51.03612499,-22.6752,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.61,4.928
-51.03617166,-22.675195000000002,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.41,4.073
-51.03622333,-22.67518833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.61,3.701
-51.03627333,-22.67517499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.71,3.9730000000000003
-51.03631999,-22.67515666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,4.6819999999999995
-51.03636666,-22.67513166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,3.862
-51.03640999,-22.67511333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.31,4.72
-51.03645833,-22.67508333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.61,3.105
-51.03650666,-22.67505833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.71,3.2119999999999997
-51.03655333,-22.675035,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,2.6210000000000004
-51.03659833,-22.67501,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.31,3.748
-51.036640000000006,-22.67499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.51,4.6530000000000005
-51.03668333,-22.674970000000002,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.31,3.9619999999999997
-51.03673,-22.67494833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.71,3.362
-51.03676999,-22.67493333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.11,4.3
-51.03682333,-22.67492333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.01,3.6910000000000003
-51.03687666,-22.67491333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,404.21,3.968
-51.036925,-22.67489666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.51,4.13
-51.03696833,-22.67488166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.91,4.107
-51.037015000000004,-22.674865,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.11,3.0
-51.03706166,-22.67483833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,3.8930000000000002
-51.03710333,-22.67480333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.11,2.661
-51.03715,-22.67478,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,3.139
-51.03719333,-22.67475333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,4.871
-51.03723666,-22.67473333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,4.343999999999999
-51.03728333,-22.67471,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,3.824
-51.03732499,-22.67468333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,3.602
-51.03736166,-22.67466333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,4.567
-51.03740166,-22.67464,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,4.963
-51.03744333,-22.674615,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,3.6310000000000002
-51.03748166,-22.67458166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.71,3.8139999999999996
-51.037525,-22.67454666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.21,3.042
-51.03756666,-22.67452,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,3.083
-51.03760166,-22.67448666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,4.35
-51.037645,-22.67445999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,3.195
-51.03768666,-22.67442999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.4389999999999996
-51.03773499,-22.67439666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,3.048
-51.03778333,-22.67435166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,3.261
-51.03781833,-22.67431166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,4.368
-51.03784833,-22.67427499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,4.98
-51.03787,-22.67423166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,4.155
-51.03789333,-22.674195,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,5.845
-51.03790833,-22.67414666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,3.917
-51.03791666,-22.67410333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,4.322
-51.037929999999996,-22.67405499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,3.6919999999999997
-51.03794166,-22.67400999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,4.081
-51.03794833,-22.67396166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,3.5869999999999997
-51.03795833,-22.67392499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,4.046
-51.03796666,-22.67388,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,3.864
-51.03799333,-22.67383166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.61,3.4160000000000004
-51.03801333,-22.67378333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,3.843
-51.03804,-22.67372999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.31
-51.03805333,-22.67368333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.1830000000000003
-51.03806333,-22.67363833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,3.26
-51.03806833,-22.67359166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.4210000000000003
-51.03806333,-22.67354166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,2.095
-51.03805166,-22.67350333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,1.6969999999999998
-51.03790333,-22.67309499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,0.701
-51.03793166,-22.67309666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.41,0.9179999999999999
-51.038035,-22.67313166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,2.7289999999999996
-51.03806999,-22.67315833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,3.733
-51.03808999,-22.67319833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,2.497
-51.03811333,-22.67323666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,3.469
-51.03812833,-22.67327166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.11,2.7710000000000004
-51.03814333,-22.67331166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,2.966
-51.03815166,-22.67334333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.81,3.701
-51.03815833,-22.67338666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.81,3.252
-51.03816333,-22.67342666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.81,3.792
-51.03816499,-22.67348333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,2.971
-51.03817,-22.67353333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,3.803
-51.038175,-22.67357499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.81,4.008
-51.03817166,-22.67361999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,4.523
-51.03816166,-22.67366666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,2.7239999999999998
-51.03814999,-22.67371666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.9730000000000003
-51.03813333,-22.67375833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,4.064
-51.03811333,-22.67380166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.41,3.98
-51.03810833,-22.67383833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.81,4.573
-51.038095,-22.67389333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,2.733
-51.03808166,-22.67393666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,4.243
-51.03806999,-22.67397833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.91,5.018
-51.03806166,-22.674015,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.48
-51.03805833,-22.67405833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.61,2.798
-51.03805333,-22.674104999999997,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.81,3.301
-51.03804,-22.67414499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.603
-51.03802333,-22.67419333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.61,3.552
-51.03801166,-22.67422499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.61,4.118
-51.03799833,-22.67425499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,4.822
-51.03798499,-22.67429333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,3.767
-51.03795833,-22.67433999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,2.57
-51.03792333,-22.67437333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,3.62
-51.03789499,-22.674405,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,4.16
-51.03787,-22.67443666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,5.996
-51.03783499,-22.674464999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,5.095
-51.03779666,-22.67449999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,3.82
-51.03776833,-22.67453166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.81,4.268
-51.03773499,-22.67456499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.71,3.452
-51.03769666,-22.67459833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.1319999999999997
-51.03765833,-22.67463666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.91,3.485
-51.03761999,-22.67466666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.636
-51.03757833,-22.67468833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,4.84
-51.03754,-22.67471499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,3.713
-51.03750333,-22.67473999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,3.3310000000000004
-51.03745666,-22.67476666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,3.929
-51.03741833,-22.67478166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,3.812
-51.037375,-22.67480499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,2.858
-51.03733333,-22.67483,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,3.548
-51.03728333,-22.67485166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.4819999999999998
-51.03724666,-22.67487499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,4.367
-51.03720666,-22.67489499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.31,3.6439999999999997
-51.03717333,-22.67491333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,4.425
-51.03713666,-22.67491999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.91,2.932
-51.03710833,-22.67492999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,2.9389999999999996
-51.037075,-22.67493999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,1.835
-51.03703999,-22.67496333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.41,2.64
-51.03700666,-22.67499333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,2.552
-51.03697333,-22.67501833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.81,2.762
-51.03694,-22.67503666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,3.367
-51.03689333,-22.67504999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.51,2.739
-51.03685166,-22.675065,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.21,4.086
-51.03680333,-22.67508333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,4.075
-51.03676,-22.67510833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.51,4.512
-51.03670666,-22.67512666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,2.8280000000000003
-51.03666666,-22.67514499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.11,5.622999999999999
-51.03662166,-22.67516166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,3.344
-51.03657333,-22.67517666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,4.268
-51.03653166,-22.67519833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,3.403
-51.03649333,-22.67521833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.61,4.36
-51.03645499,-22.67523833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,3.324
-51.03640833,-22.67525333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.91,3.0469999999999997
-51.03636333,-22.67527333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,2.26
-51.03631166,-22.67529,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,2.697
-51.03626833,-22.67530166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.41,4.135
-51.03622,-22.67531333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,4.071000000000001
-51.03617333,-22.675320000000003,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,5.763999999999999
-51.03612166,-22.67532666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,3.452
-51.03607333,-22.67533833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,3.6239999999999997
-51.03602333,-22.67535499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.21,3.284
-51.03597666,-22.675365,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,4.061
-51.03592833,-22.67538333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,3.213
-51.035885,-22.675395,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,4.473
-51.03584166,-22.67540833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,4.364
-51.03579666,-22.67541833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,3.486
-51.03574499,-22.67542666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,2.987
-51.035705,-22.67543666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,3.552
-51.03566666,-22.67544499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.21,3.7569999999999997
-51.03561833,-22.67545833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.81,3.1519999999999997
-51.03557166,-22.67547333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.01,3.73
-51.03552666,-22.67548666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.71,4.126
-51.03548666,-22.67550833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.41,3.057
-51.03544833,-22.67552166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.21,3.741
-51.03539999,-22.67553666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,2.526
-51.03535166,-22.67555166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.41,2.795
-51.03531166,-22.67556833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.41,3.534
-51.03527166,-22.67558666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.21,3.46
-51.03522333,-22.67559666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.91,3.122
-51.03517333,-22.67560833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.91,3.12
-51.03512166,-22.67561666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.21,3.175
-51.03507333,-22.67562833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.319
-51.03503499,-22.67563999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.21,4.1160000000000005
