Longitude,Latitude,Field,Data,Crop,Altitude(m),Yield mass (tonne/ha)
-51.03609166,-22.67429833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.41,3.9989999999999997
-51.036134999999994,-22.67427,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.21,4.603
-51.03618333,-22.67424166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.41,5.556
-51.03624333,-22.67420333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.61,3.727
-51.03629666,-22.67418333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,4.2669999999999995
-51.03634,-22.67417833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.81,3.605
-51.03638833,-22.67416333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.31,2.219
-51.03642499,-22.67413166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,2.7110000000000003
-51.03643666,-22.674120000000002,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.91,3.9610000000000003
-51.03645,-22.674095,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,8.851
-51.03647333,-22.674065,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.11,0.63
-51.03649499,-22.67403999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.91,5.561
-51.03652333,-22.674015,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,4.342
-51.03656166,-22.67399,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,2.37
-51.036605,-22.67395833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,3.139
-51.03664166,-22.67393499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,5.197
-51.03666833,-22.67392333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.71,4.48
-51.03668166,-22.67390999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.11,4.1819999999999995
-51.03671833,-22.67388666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.21,3.2439999999999998
-51.03674166,-22.67388166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,5.468
-51.03676999,-22.67385833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,4.546
-51.03680833,-22.673825,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,4.355
-51.03684499,-22.67381,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.41,6.513
-51.03687666,-22.67378666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,5.147
-51.03691333,-22.67375666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.21,3.27
-51.03695333,-22.67373666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,4.958
-51.03699666,-22.67370833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,1.994
-51.03703666,-22.67369166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,3.655
-51.03707333,-22.67366499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.31,2.292
-51.03708666,-22.673645,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.41,5.359
-51.03709833,-22.67363166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,403.01,6.01
-51.03711833,-22.67361999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.51,1.788
-51.03714,-22.67360166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.41,2.667
-51.03716166,-22.67358999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,4.42
-51.03719333,-22.67358333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.61,4.591
-51.03723666,-22.67354999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,2.64
-51.03728999,-22.67352333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,2.7230000000000003
-51.03733333,-22.67349833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,3.799
-51.03735999,-22.67347166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.61,5.727
-51.03737999,-22.673445,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.91,4.249
-51.03739833,-22.67342333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,5.39
-51.03741666,-22.67339833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,2.951
-51.03743,-22.67338499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.21,3.944
-51.03744666,-22.67336833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,2.464
-51.03747499,-22.67335166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,8.811
-51.03748666,-22.67334999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.71,3.054
-51.03749499,-22.67334999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,13.43
-51.03752,-22.67333666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.41,2.274
-51.03754166,-22.67333666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,402.01,5.33
-51.03756333,-22.67331666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.81,2.185
-51.03759333,-22.67330499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.41,4.869
-51.03761833,-22.67328666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.41,3.6210000000000004
-51.037645,-22.67327333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,5.63
-51.03767666,-22.67325166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,4.695
-51.03771833,-22.67323499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.81,3.428
-51.03775666,-22.67321,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,3.5060000000000002
-51.037795,-22.67318666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.41,3.247
-51.03782333,-22.67316666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.11,3.483
-51.037855,-22.67315833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.61,4.885
-51.03780166,-22.67320333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,2.302
-51.03783833,-22.67321333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,1.8119999999999998
-51.03786833,-22.67320833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.91,2.826
